query_id,query_text,doc_id,passage_preview,relevant
1,"to be, or not to be",7911,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 11",0
1,"to be, or not to be",7912,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 12",0
1,"to be, or not to be",7913,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 13",0
1,"to be, or not to be",43967,"﻿The Project Gutenberg eBook of A Christian Directory, Part 4: Christian Politics",0
1,"to be, or not to be",43800,"﻿The Project Gutenberg eBook of A Christian Directory, Part 2: Christian Economics",0
1,"to be, or not to be",44655,"﻿The Project Gutenberg eBook of A Christian Directory, Part 3: Christian Ecclesiastics",0
1,"to be, or not to be",1750,﻿The Project Gutenberg eBook of Laws,0
1,"to be, or not to be",71887,﻿The Project Gutenberg eBook of Advice to a wife and mother in two parts,0
1,"to be, or not to be",41633,"﻿The Project Gutenberg eBook of A Christian Directory, Part 1: Christian Ethics",0
1,"to be, or not to be",6595,﻿The Project Gutenberg eBook of Advice to a Mother on the Management of Her Children,0
1,"to be, or not to be",10351,"﻿The Project Gutenberg eBook of The Works of Samuel Johnson, LL.D. Volume 10",0
1,"to be, or not to be",10352,"﻿The Project Gutenberg eBook of The Works of Samuel Johnson, LL.D. Volume 11",0
1,"to be, or not to be",35354,﻿The Project Gutenberg eBook of Moral Theology,0
1,"to be, or not to be",65260,﻿The Project Gutenberg eBook of The Physical Training of Children,0
1,"to be, or not to be",29917,﻿The Project Gutenberg eBook of Old-Fashioned Ethics and Common-Sense Metaphysics,0
1,"to be, or not to be",10615,"﻿The Project Gutenberg eBook of An Essay Concerning Humane Understanding, Volume 1",0
1,"to be, or not to be",32300,﻿The Project Gutenberg eBook of The Dog,0
1,"to be, or not to be",53346,﻿The Project Gutenberg eBook of The Analogy of Religion to the Constitution and Course of Nature,0
1,"to be, or not to be",59133,"﻿The Project Gutenberg eBook of A Body of Divinity, Vol. 1 (of 4)",0
1,"to be, or not to be",150,﻿The Project Gutenberg eBook of The Republic,0
1,"to be, or not to be",46743,﻿The Project Gutenberg eBook of The Methods of Ethics,0
1,"to be, or not to be",1497,﻿The Project Gutenberg eBook of The Republic,0
1,"to be, or not to be",10616,"﻿The Project Gutenberg eBook of An Essay Concerning Humane Understanding, Volume 2",0
2,English Grammar,14006,﻿The Project Gutenberg eBook of An English Grammar,1
2,English Grammar,15097,﻿The Project Gutenberg eBook of A Grammar of the English Tongue,1
2,English Grammar,11615,﻿The Project Gutenberg eBook of The Grammar of English Grammars,1
2,English Grammar,45023,﻿The Project Gutenberg eBook of The Pictorial Grammar,1
2,English Grammar,56453,﻿The Project Gutenberg eBook of The Egregious English,1
2,English Grammar,41448,﻿The Project Gutenberg eBook of The Oppressed English,0
2,English Grammar,39862,﻿The Project Gutenberg eBook of English Traits,0
2,English Grammar,34595,﻿The Project Gutenberg eBook of The English Language,0
2,English Grammar,37091,﻿The Project Gutenberg eBook of A Song of the English,0
2,English Grammar,58938,﻿The Project Gutenberg eBook of English Hours,0
2,English Grammar,4351,﻿The Project Gutenberg eBook of The English Constitution,0
2,English Grammar,14469,﻿The Project Gutenberg eBook of The English Novel,0
2,English Grammar,69207,﻿The Project Gutenberg eBook of Tibetan Grammar,0
2,English Grammar,9197,﻿The Project Gutenberg eBook of English Villages,0
2,English Grammar,45814,﻿The Project Gutenberg eBook of An Advanced English Grammar with Exercises,1
2,English Grammar,50595,﻿The Project Gutenberg eBook of Bohemian Grammar,0
2,English Grammar,40550,﻿The Project Gutenberg eBook of Plain English,0
2,English Grammar,49832,﻿The Project Gutenberg eBook of English Monasteries,0
2,English Grammar,59795,﻿The Project Gutenberg eBook of A Finnish Grammar,0
2,English Grammar,38111,﻿The Project Gutenberg eBook of English Society,0
2,English Grammar,62064,"﻿The Project Gutenberg eBook of Rules of the Western Grammar School, Brompton",0
2,English Grammar,36882,﻿The Project Gutenberg eBook of A Grammar of Freethought,0
2,English Grammar,12358,Author: Society for Pure English,0
2,English Grammar,12524,﻿The Project Gutenberg eBook of The Englishing of French Words; the Dialectal Words in Blunden's Poems,0
2,English Grammar,22129,Author: Douglas English,0
2,English Grammar,55097,Author: Douglas English,0
2,English Grammar,48702,﻿The Project Gutenberg eBook of English Grammar and Composition for Public Schools,1
2,English Grammar,7188,﻿The Project Gutenberg eBook of Higher Lessons in English: A work on English grammar and composition,1
2,English Grammar,44802,﻿The Project Gutenberg eBook of The Comic English Grammar: A New And Facetious Introduction To The English Tongue,1
2,English Grammar,43397,﻿The Project Gutenberg eBook of The Comic English Grammar: A New and Facetious Introduction to the English Tongue,1
2,English Grammar,17594,"﻿The Project Gutenberg eBook of Lectures on Language, as Particularly Connected with English Grammar",1
2,English Grammar,28766,﻿The Project Gutenberg eBook of Elements of Gaelic Grammar,0
2,English Grammar,26991,﻿The Project Gutenberg eBook of A Short System of English Grammar,1
2,English Grammar,30036,﻿The Project Gutenberg eBook of Word Study and English Grammar,1
2,English Grammar,22577,﻿The Project Gutenberg eBook of Practical Grammar and Composition,1
2,English Grammar,15665,﻿The Project Gutenberg eBook of New Latin Grammar,0
3,Philip K Dick,9931,﻿The Project Gutenberg eBook of K,0
3,Philip K Dick,31516,﻿The Project Gutenberg eBook of The Eyes Have It,1
3,Philip K Dick,28554,﻿The Project Gutenberg eBook of Beyond Lies the Wub,1
3,Philip K Dick,28644,﻿The Project Gutenberg eBook of Beyond the Door,1
3,Philip K Dick,32522,﻿The Project Gutenberg eBook of Mr. Spaceship,1
3,Philip K Dick,28698,﻿The Project Gutenberg eBook of The Crystal Crypt,1
3,Philip K Dick,28767,﻿The Project Gutenberg eBook of The Defenders,1
3,Philip K Dick,40964,﻿The Project Gutenberg eBook of Tony and the Beetles,1
3,Philip K Dick,29132,﻿The Project Gutenberg eBook of The Gun,1
3,Philip K Dick,41562,﻿The Project Gutenberg eBook of The Hanging Stranger,1
3,Philip K Dick,70242,﻿The Project Gutenberg eBook of Prize ship,1
3,Philip K Dick,30255,﻿The Project Gutenberg eBook of The Skull,1
3,Philip K Dick,32832,﻿The Project Gutenberg eBook of Piper in the Woods,1
3,Philip K Dick,32032,﻿The Project Gutenberg eBook of Second Variety,1
3,Philip K Dick,32154,﻿The Project Gutenberg eBook of The Variable Man,1
3,Philip K Dick,44995,﻿The Project Gutenberg eBook of Dick & Fitzgerald Catalog (1866),0
3,Philip K Dick,48440,"﻿The Project Gutenberg eBook of The Plays of Philip Massinger, Vol. I",0
3,Philip K Dick,13168,﻿The Project Gutenberg eBook of Dick in the Everglades,0
3,Philip K Dick,19554,﻿The Project Gutenberg eBook of Dick Lionheart,0
3,Philip K Dick,31556,﻿The Project Gutenberg eBook of Dick in the Desert,0
3,Philip K Dick,30431,﻿The Project Gutenberg eBook of Calumet 'K',0
3,Philip K Dick,18154,"﻿The Project Gutenberg eBook of Calumet ""K""",0
3,Philip K Dick,12302,﻿The Project Gutenberg eBook of All in It : K(1) Carries On,0
3,Philip K Dick,56208,﻿The Project Gutenberg eBook of Philip Hale's Boston Symphony Programme Notes,0
4,Jabberwocky,36308,JABBERWOCKY                                           29,1
4,Jabberwocky,20353,Jabberwocky                                   Lewis Carroll        19,1
4,Jabberwocky,9380,JABBERWOCKY                            Lewis Carroll,1
4,Jabberwocky,35418,"and if the story had no other merit, ""The Jabberwocky"" alone would have",1
4,Jabberwocky,23545,"Dong with the Luminous Nose"" and Carroll's ""Jabberwocky"" are,",1
4,Jabberwocky,30778,"Nothing of its kind better than ""Jabberwocky"" has ever been written,",1
4,Jabberwocky,11483,"the Looking-Glass""--""Jabberwocky"" in Latin--C.S.",1
4,Jabberwocky,12,JABBERWOCKY.,1
4,Jabberwocky,35688,JABBERWOCKY,1
4,Jabberwocky,32587,"Jabberwocky emerged from the loudspeaker, ending in a chorus of,",0
4,Jabberwocky,59004,"immortal poem, “Jabberwocky,” has become a classic; but even in that",1
4,Jabberwocky,10688,"and Avernus, Jabberwocky, Hornets, Nevermore, Gibraltar, Tamaracks,",0
4,Jabberwocky,23972,The Jabberwocky of Authors             _Harry Persons Taber_         437,0
4,Jabberwocky,42574,walk I'll go with you and do what I can in case the Jabberwocky or the,0
4,Jabberwocky,41861,"toothless Jabberwocky. Miss Talbot tried the effect of cool, insistent",0
4,Jabberwocky,61325,"did ""gyre and gimbel"" in the immortal poem ""Jabberwocky.""",1
4,Jabberwocky,43223,JABBERWOCKY.,1
4,Jabberwocky,13784,of the Jabberwocky of the Rennes court-martial as it is reported in,0
4,Jabberwocky,51248,"the Carpenter,"" ""Jabberwocky.""",1
4,Jabberwocky,35138,"Jabberwocky""; even grown-ups dote on ""Little Billee,"" as Thackeray",1
4,Jabberwocky,72054,Jabberwocky.,1
5,Gutenberg,576,﻿           The Project Gutenberg eBook of The Project Gutenberg Web Pages,0
5,Gutenberg,673,*The Project Gutenberg Etext of Webster's Unabridged Dictionary*,0
5,Gutenberg,200,"﻿The Project Gutenberg eBook of The Project Gutenberg Encyclopedia, Volume 1 of 28",0
5,Gutenberg,31632,﻿The Project Gutenberg eBook of Project Gutenberg (1971-2009),0
5,Gutenberg,27045,﻿The Project Gutenberg eBook of Project Gutenberg (1971-2008),0
5,Gutenberg,27039,﻿The Project Gutenberg eBook of Project Gutenberg (1971-2005),0
5,Gutenberg,51358,"﻿The Project Gutenberg eBook of Gutenberg, and the Art of Printing",1
5,Gutenberg,27046,﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2008),0
5,Gutenberg,27040,﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2005),0
5,Gutenberg,31634,﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2009),0
5,Gutenberg,10802,THE PROJECT GUTENBERG CD AND DVD IMAGE README.TXT FILE,0
5,Gutenberg,31633,﻿The Project Gutenberg eBook of El Proyecto Gutenberg (1971-2009),0
5,Gutenberg,9109,﻿The Project Gutenberg eBook of The Project Gutenberg FAQ 2002,0
5,Gutenberg,181,﻿The Project Gutenberg eBook of The Project Gutenberg RST Manual,0
5,Gutenberg,29441,﻿The Project Gutenberg eBook of The Project Gutenberg Works of Plato: An Index,0
5,Gutenberg,29459,﻿The Project Gutenberg eBook of The Project Gutenberg Works of Xenophon: An Index,0
5,Gutenberg,14585,﻿The Project Gutenberg eBook of ERPANET Case Study: Project Gutenberg,0
5,Gutenberg,57714,﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Don Marquis,0
5,Gutenberg,59049,﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Rabelais,0
5,Gutenberg,57966,﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Thackeray,0
6,Dornröschen,61708,werden. Dornröschen. Nach den Vorstellungen mußte oft bis vier Uhr Morgens,1
6,Dornröschen,19716,3. Dornröschen.,1
6,Dornröschen,62670,"Nr. 1. =Dornröschen=, gez. v. J. Diez, München",1
6,Dornröschen,28100,"Ansicht entsprechen, beispielsweise unser allerliebstes Dornröschen.",1
6,Dornröschen,30038,DORNRÖSCHEN,1
6,Dornröschen,42900,Dornröschen,1
6,Dornröschen,35116,"little Dornröschen who had retired to her solitude, and was dreaming of",1
6,Dornröschen,35547,"willst, so mache ich das Dornröschen im Schloß, und du kommst mich",1
6,Dornröschen,63465,Das Dornröschen.,1
6,Dornröschen,22160,"{Section VII.} Musik, Dornröschen etc.......................... 143",1
6,Dornröschen,31281,88. Dornröschen.,1
6,Dornröschen,71976,"miterlebt haben? Es bestehen Pläne, auch dieses Dornröschen aus langem",1
6,Dornröschen,40801,"elé: mintha a Dornröschen kastélya előtt állapodtak volna meg. Sehol,",0
6,Dornröschen,65600,"Teich ein weltvergessenes Waldmärchen. Ein grünlockiges Dornröschen,",1
6,Dornröschen,45661,"Erfolg gefunden. Denn an die hundertjährigen Hecken, die das Dornröschen",1
6,Dornröschen,27254,"der Tat, sie ist märchenhaft: ein Dornröschen, durch das reine Streben",0
6,Dornröschen,39782,"Dornröschen, which in English we call The Sleeping Beauty, where the",1
6,Dornröschen,46550,"Resultat anging, ebensogut vom Dornröschen hätten besetzt sein können,",0
6,Dornröschen,50444,ebensogut vor das schlafende Schloß der Prinzeß Dornröschen kommen,1
6,Dornröschen,66573,"von Dornröschen findet, die von Rosenduft und Morgentau zu leben glauben,",1
6,Dornröschen,30269,ought not to be. They did not long believe in Dornröschen and,0
6,Dornröschen,60684,Dornröschen und dem Ritter Blaubart im dunklen Waldesgrund.,1
6,Dornröschen,70560,Wein darum und legte mich mit geschlossenen Augen ins Gras. Dornröschen,1
